key,title,company,location,url,match,human_skill_overlap,human_role_fit,human_spam
oracle database administrator - form fremtidens digitale infrastruktur hos norlys|norlys,Oracle Database Administrator - Form fremtidens digitale infrastruktur hos Norlys,Norlys,"Aahus, Sønderborg eller København og mulighed for hjemmearbejde",https://www.jobindex.dk/vis-job/h1699531,72.0,,,
production assistant at bella center copenhagen|bellagroup,Production Assistant at Bella Center Copenhagen,Bellagroup,København,https://www.jobindex.dk/vis-job/r14002142,70.9,,,
senior linux infrastructure engineer|copenhagen atomics,Senior Linux Infrastructure Engineer,Copenhagen Atomics,2770 Kastrup,https://copenhagenatomics.com/job/senior-linux-infrastructure-engineer/,70.5,,,
senior developer|the riskpoint group,Senior Developer,The RiskPoint Group,Copenhagen,https://www.jobindex.dk/vis-job/h1689727,70.5,,,
telco cloud architect|norlys,Telco Cloud Architect,Norlys,Copenhagen or Aarhus,https://www.jobindex.dk/vis-job/h1699346,70.2,,,
finans controller|mt højgaard danmark a/s,Finans Controller,MT Højgaard Danmark A/S,Søborg,https://www.jobindex.dk/vis-job/h1699565,69.8,,,
software specialist — embedded systems &amp; mobile applications|wahl&ross aps,Software Specialist — Embedded Systems &amp; Mobile Applications,WAHL&ROSS ApS,2000 Frederiksberg,https://jobnet.dk/jobannonce/4b4a44e9-1eda-4ca0-83e8-950a2c160774,69.6,,,
studie i læse- og skrivecenteret på kvuc|københavns vuc,Studie i Læse- og Skrivecenteret på KVUC,Københavns VUC,1120 København K,https://www.jobindex.dk/vis-job/r14003988,69.6,,,
junior produktkonsulent til akademikernes a-kasse (studiejob)|akademikernes a-kasse,Junior Produktkonsulent til Akademikernes A-kasse (studiejob),Akademikernes A-kasse,København V og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1698303,69.5,,,
data- og forretningsspecialist til dataplatform i pet|politiets efterretningstjeneste,Data- og Forretningsspecialist til Dataplatform i PET,Politiets Efterretningstjeneste,Søborg,https://www.jobindex.dk/vis-job/h1698230,69.4,,,
software developer and consultant|daquma,Software Developer and Consultant,DAQUMA,2400 København NV,https://www.daquma.com/careers/software-developer-and-consultant,69.2,,,
student assistant|daiichi sankyo nordics aps,Student Assistant,Daiichi Sankyo Nordics ApS,Copenhagen,https://www.jobindex.dk/vis-job/h1697996,69.1,,,
chef for udlejning og salg af brugerejendomme hos edc poul erik bech i københavn|edc erhverv poul erik bech,Chef for udlejning og salg af brugerejendomme hos EDC Poul Erik Bech i København,EDC Erhverv Poul Erik Bech,1069 København K,https://www.jobindex.dk/vis-job/r14002261,69.1,,,
juniorsælger – needit denmark|needit denmark aps,Juniorsælger – Needit Denmark,Needit Denmark ApS,Hvidovre,https://www.jobindex.dk/vis-job/h1699511,69.0,,,
"procurement associate (three positions), copenhagen, denmark|united nations development programme","Procurement Associate (three positions), Copenhagen, Denmark",United Nations Development Programme,2100 København Ø,https://www.jobindex.dk/vis-job/r14005323,68.6,,,
transformation director - drive the integration programme shaping norlys' future|norlys,Transformation Director - Drive the integration programme shaping Norlys' future,Norlys,København S,https://www.jobindex.dk/vis-job/h1698361,68.5,,,
juniorudviklere til app-team|udviklings- og forenklingsstyrelsen,Juniorudviklere til app-team,Udviklings- og Forenklingsstyrelsen,Frederiksberg,https://www.jobindex.dk/vis-job/h1697522,68.5,,,
operatør|novo nordisk,Operatør,Novo Nordisk,Gentofte,https://www.jobindex.dk/vis-job/r14004636,68.5,,,
"it-sikkerhedsrådgivere til styrelsen for samfundssikkerhed|styrelsen for samfundssikkerhed, østerbro",IT-sikkerhedsrådgivere til Styrelsen for Samfundssikkerhed,"Styrelsen for Samfundssikkerhed, Østerbro",2100 København Ø,https://www.jobindex.dk/vis-job/r14005309,68.5,,,
junior data engineer til rigspolitiets dataplatform|rigspolitiet,Junior data engineer til Rigspolitiets dataplatform,Rigspolitiet,København V,https://www.jobindex.dk/vis-job/h1697964,68.5,,,
revisor med fokus på revision til smv-segmentet|bdo,Revisor med fokus på revision til SMV-segmentet,BDO,København,https://www.jobindex.dk/vis-job/h1699886,68.3,,,
asset engineer/projektleder til teknisk infrastruktur|københavns lufthavne a/s,Asset Engineer/Projektleder til teknisk infrastruktur,Københavns Lufthavne A/S,Kastrup,https://www.jobindex.dk/vis-job/h1699180,68.3,,,
platform engineer hos pet|politiets efterretningstjeneste,Platform Engineer hos PET,Politiets Efterretningstjeneste,Søborg,https://www.jobindex.dk/vis-job/h1697935,68.3,,,
operations partner|dao,Operations Partner,dao,Vejle eller Rødovre,https://www.jobindex.dk/vis-job/h1698955,68.2,,,
byggeteknisk konsulent til udvikling af robuste ppv-planer til boligkontoret danmark|boligkontoret danmark,Byggeteknisk konsulent til udvikling af robuste PPV-planer til Boligkontoret Danmark,Boligkontoret Danmark,København V,https://www.jobindex.dk/vis-job/h1698995,68.2,,,
mekaniker|tcr denmark aps,Mekaniker,TCR Denmark ApS,Kastrup,https://www.jobindex.dk/vis-job/h1698644,68.1,,,
senior backend software engineer|spirii,Senior Backend Software Engineer,Spirii,1050 København K,https://thehub.io/jobs/6a746b21298653ca2c10a0f8,67.9,,,
